Date,Open,High,Low,Close,Adj Close,Volume
6/10/2019,26,44.25,25.549999,31.49,31.49,32321800
6/17/2019,32.810001,35.919998,27.573999,27.75,27.75,11348400
6/24/2019,28,30.950001,27.07,29.700001,29.700001,3445900
7/1/2019,29.790001,30.33,26.799999,27.25,27.25,1529900
7/8/2019,27.139999,27.299999,22.139999,23.48,23.48,2549200
7/15/2019,23.6,25.17,22.959999,24.879999,24.879999,1218500
7/22/2019,24.83,26.379999,24.360001,25.200001,25.200001,705400
7/29/2019,25.5,26.24,24.5,25.34,25.34,755400
8/5/2019,24.940001,27.99,22.205,22.459999,22.459999,1925200
8/12/2019,23,23.6,21,21.68,21.68,1016600
8/19/2019,21.700001,24.67,21.700001,23.389999,23.389999,439100
8/26/2019,23.299999,23.940001,21.305,23.389999,23.389999,749400
9/2/2019,23.049999,23.469999,21.4,21.629999,21.629999,368100
9/9/2019,21.780001,22.129999,18.75,19.27,19.27,1880500
9/16/2019,19.1,21.48,18.25,18.559999,18.559999,768800
9/23/2019,18.559999,18.559999,17.110001,18.25,18.25,953900
9/30/2019,18.110001,20.67,17.959999,20.65,20.65,807400
10/7/2019,20.66,21.75,20.280001,20.65,20.65,596800
10/14/2019,20.639999,21.598,20.129999,20.5,20.5,376700
10/21/2019,20.450001,24.25,20.200001,23.879999,23.879999,696200
10/28/2019,24.24,24.74,21.219999,21.379999,21.379999,668700
11/4/2019,21.74,22.9,21.469999,22.030001,22.030001,567400
11/11/2019,22.15,24.24,21,22.030001,22.030001,1443100
11/18/2019,22.27,22.9,20.66,22.1,22.1,972000
11/25/2019,22.41,23.25,21.860001,23.01,23.01,437800
12/2/2019,23.1,23.25,20.610001,20.799999,20.799999,1018900
12/9/2019,20.6,23.68,19.32,23.299999,23.299999,1618500
12/16/2019,22.5,24.860001,22.209999,24.68,24.68,1351700
12/23/2019,24.610001,25.299999,22.16,24.99,24.99,869500
12/30/2019,24.76,24.9,22.299999,23.190001,23.190001,1176600
1/6/2020,23.190001,26.07,22.83,24.799999,24.799999,1401800
1/13/2020,24.92,27.5,24.68,26.950001,26.950001,910300
1/20/2020,26.870001,28,25.459999,25.99,25.99,1014900
1/27/2020,25.75,26.17,25,26.09,26.09,714300
2/3/2020,25.99,26.92,24.59,25.719999,25.719999,766400
2/10/2020,25.5,27.9,25.5,27.9,27.9,899200
2/17/2020,27.67,35.130001,26.76,33.709999,33.709999,5289600
2/24/2020,31.719999,33.470001,30.110001,31.48,31.48,1806900
3/2/2020,31.73,34.490002,29.440001,30.639999,30.639999,1731100
3/9/2020,28.9,29.6,23.790001,26,26,1724300
3/16/2020,25,35,20.42,21.690001,21.690001,2804800
3/23/2020,21.790001,26.98,20.66,26.35,26.35,1560300
3/30/2020,25.969999,26.700001,22.52,22.940001,22.940001,1459200
4/6/2020,23.549999,31.110001,23.035,30.41,30.41,2725500
4/13/2020,30.389999,32.634998,28.77,31.99,31.99,2220600
