Date,Open,High,Low,Close,Adj Close,Volume
10/1/2018,23,23.49,20.33,20.99,20.99,10412000
10/8/2018,20.950001,20.950001,18.790001,19.209999,19.209999,4706400
10/15/2018,19.299999,20.860001,19,19.440001,19.440001,1405900
10/22/2018,19.66,20.33,16.700001,18.690001,18.690001,2725800
10/29/2018,19.15,20.74,17.780001,20.26,20.26,1786000
11/5/2018,20.59,21.110001,15.84,17.68,17.68,4025800
11/12/2018,17.98,19.52,17.5,19.200001,19.200001,1435400
11/19/2018,19.200001,19.200001,15.68,16.889999,16.889999,1557800
11/26/2018,17.1,19,16.58,18.629999,18.629999,1401600
12/3/2018,19.32,19.42,17.049999,17.09,17.09,1111200
12/10/2018,17.219999,17.440001,15.82,17.389999,17.389999,2191400
12/17/2018,17.18,21.690001,17.110001,19.559999,19.559999,7989900
12/24/2018,19.23,19.4,16.83,17.860001,17.860001,1176100
12/31/2018,18,18.969999,17.51,18.59,18.59,1082700
1/7/2019,18.75,19.48,18.17,18.99,18.99,953400
1/14/2019,18.700001,19.18,18.549999,18.940001,18.940001,800800
1/21/2019,18.860001,19.35,18,18.98,18.98,701800
1/28/2019,18.83,19.459999,18.52,18.58,18.58,1093300
2/4/2019,18.540001,22.85,18.370001,20.57,20.57,2913000
2/11/2019,20.870001,23.5,20.610001,22.059999,22.059999,1838800
2/18/2019,22.4,23.469999,20.959999,22.719999,22.719999,1382600
2/25/2019,22.91,25,21.209999,22.450001,22.450001,3339100
3/4/2019,22.799999,23.799999,21.030001,21.48,21.48,1749500
3/11/2019,21.5,22.27,20.030001,20.309999,20.309999,1855100
3/18/2019,20.360001,20.889999,19.82,19.9,19.9,1615000
3/25/2019,19.870001,20.25,18.309999,19.139999,19.139999,2209000
4/1/2019,18.969999,20.25,17.719999,20.01,20.01,12258500
4/8/2019,20,20.200001,19.01,19.709999,19.709999,2855600
4/15/2019,19.620001,19.639999,17.950001,18.76,18.76,4060300
4/22/2019,18.639999,19.360001,18.52,19.02,19.02,2300500
4/29/2019,19,20.82,18.950001,20.700001,20.700001,3918700
5/6/2019,20.02,20.9,15.62,16.75,16.75,12132200
5/13/2019,16.309999,16.83,15.55,15.78,15.78,6416400
5/20/2019,15.7,16.18,15.28,15.65,15.65,4385600
5/27/2019,15.63,15.8,14.58,14.98,14.98,6232200
6/3/2019,14.94,14.98,14.08,14.39,14.39,4147000
6/10/2019,14.53,15.82,14.42,15.26,15.26,5910800
6/17/2019,15.26,16.530001,15.01,15.51,15.51,7778900
6/24/2019,15.56,16.440001,14.91,16.08,16.08,12342100
7/1/2019,16.299999,16.469999,15.16,15.81,15.81,2972300
7/8/2019,15.89,16.709999,15.79,16.620001,16.620001,4709900
7/15/2019,16.639999,17.139999,16.219999,17.040001,17.040001,3400600
7/22/2019,17.15,17.17,16.309999,16.99,16.99,2336600
7/29/2019,16.9,16.99,15.65,15.88,15.88,3111100
8/5/2019,15.6,17.75,15.04,15.15,15.15,6843600
8/12/2019,15.23,15.77,14.36,15,15,5248400
8/19/2019,15.11,15.2,14.32,14.4,14.4,3121900
8/26/2019,14.52,14.73,13.85,14.46,14.46,4743100
9/2/2019,14.26,14.54,13.13,14.07,14.07,4565400
9/9/2019,14.17,15.41,14.14,14.97,14.97,5721000
9/16/2019,14.96,15.31,13.6,13.71,13.71,6872300
9/23/2019,13.67,13.96,12.93,13.26,13.26,4648400
9/30/2019,13.09,14.12,12.87,14.06,14.06,5741600
10/7/2019,14.05,14.56,13.5,14.3,14.3,4812200
10/14/2019,14.3,14.98,13.94,14.42,14.42,4427600
10/21/2019,14.5,15.04,14.33,14.82,14.82,3316500
10/28/2019,14.92,15.39,14.45,15.21,15.21,3627300
11/4/2019,15.3,15.53,11.81,12.77,12.77,11596900
11/11/2019,12.78,12.8,11.66,11.85,11.85,5633100
11/18/2019,11.8,12.01,11.19,11.24,11.24,4472100
11/25/2019,11.27,12,11.25,11.65,11.65,2807900
12/2/2019,11.72,11.72,10.94,11.32,11.32,3840900
12/9/2019,11.32,11.32,9.35,10.42,10.42,8540900
12/16/2019,10.5,10.9,10.38,10.6,10.6,7490500
12/23/2019,10.59,10.73,10.25,10.42,10.42,5704500
12/30/2019,10.38,10.69,10.04,10.09,10.09,4741700
1/6/2020,10,10.3,9.56,10.03,10.03,13404800
1/13/2020,9.99,10.24,9.68,10.05,10.05,7711400
1/20/2020,10,10.16,9.13,9.22,9.22,6247600
1/27/2020,9.06,9.56,8.96,9.18,9.18,6451500
2/3/2020,9.16,9.65,8.9,9.07,9.07,6632800
2/10/2020,9.01,9.49,8.7,9.22,9.22,8893400
2/17/2020,9.25,9.5,9.01,9.09,9.09,5348100
2/24/2020,8.9,9.04,6.8,8.66,8.66,12341900
3/2/2020,8.66,8.71,7.84,7.98,7.98,14492700
3/9/2020,7.45,8.75,6.77,7.17,7.17,15567800
3/16/2020,6.56,7.35,5.14,6.19,6.19,11270000
